Use Code,Use Definition,Class Code,Class Definition
MRES,Multi-Family Residential,A,Apartment 4 units or less
MRES,Multi-Family Residential,A15,Apartment 15 Units or more
MRES,Multi-Family Residential,A15G,Apartment Gov 15 units or more
MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units
MRES,Multi-Family Residential,A5G,Apartment Gov 5 to 14 units
COMM,Commercial Misc,AC,Apartment & Commercial Store
COMM,Commercial Misc,ACG,Apartment Gov Comm Store
MRES,Multi-Family Residential,AG,Apartment Gov 4 units or less
COMR,Commercial Retail,B,Bank
COMR,Commercial Retail,BZ,Bank Condominium
COMR,Commercial Retail,C,Commercial Stores
COMR,Commercial Retail,C1,Shopping Center
COMR,Commercial Retail,C1G,Shopping Center Gov
COMR,Commercial Retail,CD,Commercial Department Stores
COMR,Commercial Retail,CG,Commercial Stores Gov
COMR,Commercial Retail,CM,Commercial/Mixed use
MRES,Multi-Family Residential,CO,Coop Units Unsegregated
COMR,Commercial Retail,CONG,Consulate
SRES,Single Family Residential,COS,Coop Units Segregated
GOVT,Government,CP,City Property
COMR,Commercial Retail,CZ,Commercial Store Condo
COMR,Commercial Retail,CZEU,Commercial Store Condo Economic Unit
SRES,Single Family Residential,D,Dwelling
MRES,Multi-Family Residential,DA,Dwellings - Apt 4 units or less
MRES,Multi-Family Residential,DA15,Dwellings - Apt 15 units or more
MRES,Multi-Family Residential,DA5,Dwellings - Apt 5 to 14 units
SRES,Single Family Residential,DBM,Dwelling BMR
MRES,Multi-Family Residential,DCON,Legal Multi-Family Con to SFR
MRES,Multi-Family Residential,DD,2 Dwellings on 1 Parcel 4 units or less
MRES,Multi-Family Residential,DD15,2 Dwellings on 1 Parcel 15 units +
MRES,Multi-Family Residential,DD5,2 Dwellings on 1 Parcel 5 to 14 units
MRES,Multi-Family Residential,DF,1 Flat & Dwelling-1 Parcel
COMM,Commercial Misc,E,Schools
COMR,Commercial Retail,EC,Entertainment Complex
COMR,Commercial Retail,ECG,Entertainment Complex Gov
COMR,Commercial Retail,EG,Schools
MRES,Multi-Family Residential,F,Flats & Duplex
MRES,Multi-Family Residential,F15,Flats 15 units +
MRES,Multi-Family Residential,F2,Flat & Store
MRES,Multi-Family Residential,F5,Flats 5 to 14 units
MRES,Multi-Family Residential,FA,1 Flat & 1 Apt Bldg-1 Parcel
MRES,Multi-Family Residential,FA15,1 Flat & 1 Apt - 1 Parcel 15 units +
MRES,Multi-Family Residential,FA5,1 Flat & 1 Apt - 1 Parcel 5 to 14 units
MISC,Miscellaneous/Mixed-Use,FIRG,FIRE STATION
MRES,Multi-Family Residential,FS,Flat & Store 4 units or less
MRES,Multi-Family Residential,FS15,Flat & Store 15 units +
MRES,Multi-Family Residential,FS5,Flat & Store 5 to 14 units
COMM,Commercial Misc,G,Garages (Commercial)
COMM,Commercial Misc,GC,Golf Course
MISC,Miscellaneous/Mixed-Use,GCU,Golf Course
COMM,Commercial Misc,GG,Garages (Commercial)
COMM,Commercial Misc,GZ,Garage Condominium
COMM,Commercial Misc,GZEU,Garages Condo Economic Unit
COMH,Commercial Hotel,H,Hotel
COMH,Commercial Hotel,H1,Hotel
COMH,Commercial Hotel,H2,Hotels - Other
COMH,Commercial Hotel,HC,Hotel Commercial (H2w/Com)
COMH,Commercial Hotel,HG,Hotel Gov
IND,Industrial,I,Industrial
IND,Industrial,IDC,Industrial Data Center
IND,Industrial,IG,Industrial Gov
IND,Industrial,IW,Industrial Warehouse
IND,Industrial,IX,Industrial Mixed/Other Use
IND,Industrial,IXG,Industrial Gov Mixed/Other Use
IND,Industrial,IZ,Industrial Condominium
COMO,Commercial Office,LE35,Lease over 35 years
COMO,Commercial Office,LIBG,LIBRARY
SRES,Single Family Residential,LZ,Live/Work Condominium
SRES,Single Family Residential,LZBM,Live/Work Condominium BMR
COMH,Commercial Hotel,M,Motels
MISC,Miscellaneous/Mixed-Use,MB,Mission Bay
COMH,Commercial Hotel,MG,Motels Gov
COMM,Commercial Misc,MIX,Mixed use
COMM,Commercial Misc,N1,Hospitals
COMM,Commercial Misc,N1G,Hospitals Gov
COMM,Commercial Misc,N2,Convalescent/Nursing Homes
COMM,Commercial Misc,N2G,Convalescent/Nursing Homes Gov
COMO,Commercial Office,O,Office
COMO,Commercial Office,O35,Office Portion Leased of 35 or More
MRES,Multi-Family Residential,OA,Office and Apartments 4 units or less
MRES,Multi-Family Residential,OA15,Office and Apartments 15 units +
MRES,Multi-Family Residential,OA5,Office and Apartments 5 to 14 units
COMO,Commercial Office,OAH,Office - High Class A
COMO,Commercial Office,OAL,Office - Low Class A
COMO,Commercial Office,OAM,Office - Middle Class A
COMO,Commercial Office,OAT,"Office - ""Trophy"" Class A"
COMO,Commercial Office,OBH,Office - High Class B
COMO,Commercial Office,OBL,Office - Low Class B
COMO,Commercial Office,OBM,Office - Middle Class B
COMR,Commercial Retail,OC,Office with Major Retail Units
COMO,Commercial Office,OCH,Office - High Class C
COMO,Commercial Office,OCL,Office - Low Class C
COMO,Commercial Office,OCM,Office - Middle Class C
COMO,Commercial Office,OG,Office Gov
COMO,Commercial Office,OMD,Medical- dental Office Building
COMO,Commercial Office,OMDG,Medical- dental Office Building Gov
COMO,Commercial Office,OZ,Office - Condominium
COMO,Commercial Office,OZEU,Office Condo Economic Unit
GOVT,Government,P,Public Buildings (Govt)
SRES,Single Family Residential,PD,PUD (Planned Unit Development)
GOVT,Government,PI,Possessory Interest
COMM,Commercial Misc,PL,Parking Lot
COMM,Commercial Misc,PLG,GARAGE
COMM,Commercial Misc,POLG,POLICE STATION
COMM,Commercial Misc,PZ,Parking Stall Condominium
GOVT,Government,RDAP,Redevelopment Agency Property
COMH,Commercial Hotel,RH,Residential Hotel & SRO
COMH,Commercial Hotel,RH1,Retail & Hotel
COMH,Commercial Hotel,RHG,Residential Hotel & SRO Gov
COMM,Commercial Misc,S,Gas Station
GOVT,Government,SP,State of California Property
COMM,Commercial Misc,T,Theatres
MISC,Miscellaneous/Mixed-Use,TDR,Vacant TDR Parcel
SRES,Single Family Residential,TH,Town House
SRES,Single Family Residential,THBM,Town House BMR
MRES,Multi-Family Residential,TI15,TIC Bldg 15 units +
MRES,Multi-Family Residential,TIA,TI Apartment
