supervisor_district_2012,property_location,parcel_number,block,lot,volume_number,use_code,use_definition,property_class_code,property_class_code_definition,year_property_built,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_of_stories,number_of_units,closed_roll_year,zoning_code,construction_type,lot_depth,lot_frontage,property_area,basement_area,lot_area,lot_code,the_geom,tax_rate_area_code,percent_of_ownership,exemption_code,exemption_code_definition,status_code,misc_exemption_value,homeowner_exemption_value,current_sales_date,assessed_fixtures_value,assessed_improvement_value,assessed_land_value,assessed_personal_property_value,assessor_neighborhood_district,assessor_neighborhood_code,assessor_neighborhood,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of,row_id,total_assessed_value,property_price_per_sqft
6.0,0000 0001 POLK                ST0000,0814022,0814,022,6.0,SRES,Single Family Residential,Z,Condominium,2008.0,0.0,0.0,0.0,21.0,0.0,2009,,,0.0,0.0,0.0,0.0,0.0,,POINT (-122.41832595993753 37.7767879553012),1000.0,1.0,,,,0.0,0.0,,0.0,39306719.0,15466586.0,0.0,8.0,8F,Van Ness/ Civic Center,6.0,Tenderloin,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20090814022,54773305.0,
6.0,0000 0001 POLK                ST0000,0814022,0814,022,6.0,SRES,Single Family Residential,Z,Condominium,2008.0,0.0,0.0,0.0,21.0,0.0,2010,,,0.0,0.0,0.0,0.0,0.0,,POINT (-122.41832595993753 37.7767879553012),1000.0,1.0,,,,0.0,0.0,,0.0,39213561.0,15429930.0,0.0,8.0,8F,Van Ness/ Civic Center,6.0,Tenderloin,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20100814022,54643491.0,
6.0,0000 0001 POLK                ST0000,0814022,0814,022,6.0,SRES,Single Family Residential,Z,Condominium,2008.0,0.0,0.0,0.0,21.0,0.0,2008,,,0.0,0.0,0.0,0.0,0.0,,POINT (-122.41832595993753 37.7767879553012),1000.0,1.0,,,,0.0,0.0,,0.0,38536000.0,15163320.0,0.0,8.0,8F,Van Ness/ Civic Center,6.0,Tenderloin,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20080814022,53699320.0,
2.0,0000 2950 BROADWAY              0000,0957031,0957,031,7.0,SRES,Single Family Residential,D,Dwelling,1922.0,6.0,5.0,17.0,3.0,0.0,2022,,,0.0,0.0,12730.0,2037.0,15622.0,O,POINT (-122.4457023535777 37.793296850031496),1000.0,1.0,,,,0.0,0.0,2013-03-19T00:00:00.000,0.0,21107093.0,28429873.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220957031,49536966.0,3891.356323644933
2.0,0000 2950 BROADWAY              0000,0957031,0957,031,7.0,SRES,Single Family Residential,D,Dwelling,1922.0,6.0,5.0,17.0,3.0,0.0,2021,,,0.0,0.0,12730.0,2037.0,15622.0,O,POINT (-122.4457023535777 37.793296850031496),1000.0,1.0,,,,0.0,0.0,2013-03-19T00:00:00.000,0.0,20693229.0,27872425.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20210957031,48565654.0,3815.0553024351925
2.0,2950 2950 BROADWAY              0000,0957031,0957,031,7.0,SRES,Single Family Residential,D,Dwelling,1922.0,6.0,5.0,17.0,3.0,0.0,2020,,,0.0,0.0,12730.0,2037.0,15622.0,O,POINT (-122.4457023535777 37.793296850031496),1000.0,1.0,,,,0.0,0.0,2013-03-19T00:00:00.000,0.0,20481046.0,27586628.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20200957031,48067674.0,3775.9366849960725
2.0,2950 2950 BROADWAY              0000,0957031,0957,031,7.0,SRES,Single Family Residential,D,Dwelling,1922.0,6.0,5.0,17.0,3.0,0.0,2019,,,0.0,0.0,12730.0,2037.0,15622.0,O,POINT (-122.4457023535777 37.793296850031496),1000.0,1.0,,,,0.0,0.0,2013-03-19T00:00:00.000,0.0,20079458.0,27045714.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20190957031,47125172.0,3701.8988216810685
2.0,0000 2920 BROADWAY              0000,0957003,0957,003,7.0,SRES,Single Family Residential,D,Dwelling,1931.0,7.0,7.0,15.0,3.0,1.0,2022,RH1D,D,0.0,0.0,11455.0,0.0,7871.0,,POINT (-122.44525536262057 37.7932680882562),1000.0,1.0,,,,0.0,0.0,2021-04-26T00:00:00.000,0.0,13311000.0,31059000.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220957003,44370000.0,3873.4177215189875
2.0,0000 2840 BROADWAY              0000,0958004,0958,004,7.0,SRES,Single Family Residential,D,Dwelling,1916.0,7.0,0.0,22.0,3.0,1.0,2022,RH1D,D,0.0,0.0,17286.0,0.0,7562.0,,POINT (-122.44389121405669 37.79344144709205),1000.0,0.5,,,,0.0,0.0,2011-08-10T00:00:00.000,0.0,15064296.0,27341410.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220958004,42405706.0,2453.1821126923523
2.0,0000 2840 BROADWAY              0000,0958004,0958,004,7.0,SRES,Single Family Residential,D,Dwelling,1916.0,7.0,0.0,22.0,3.0,1.0,2017,RH1D,D,0.0,0.0,17286.0,0.0,7562.0,,POINT (-122.44389121405669 37.79344144709205),1000.0,0.5,,,,0.0,0.0,2011-08-10T00:00:00.000,0.0,16720606.0,25000238.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170958004,41720844.0,2413.5626518569943
